Date,Time,Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume
2/8/18, 22:45:00.0,2605.25,2606.25,2605,2605.75,203,163,87,116
2/8/18, 22:48:00.0,2606,2606,2604,2604.75,324,273,154,170
2/8/18, 22:51:00.0,2604.75,2606,2604,2604.25,261,202,139,122
2/8/18, 22:54:00.0,2604.5,2605.25,2604,2604.75,312,152,236,76
2/8/18, 22:57:00.0,2604.5,2605,2604,2604.5,296,203,220,76
2/8/18, 23:00:00.0,2604.5,2604.75,2604,2604.25,269,198,159,110
2/8/18, 23:03:00.0,2604.25,2604.25,2602.25,2602.5,517,339,351,166
2/8/18, 23:06:00.0,2602.25,2604,2602.25,2604,285,212,109,176
2/8/18, 23:09:00.0,2603.75,2604,2600.5,2601,461,334,329,132
2/8/18, 23:12:00.0,2600.75,2601.25,2599.25,2599.25,813,517,546,267
2/8/18, 23:15:00.0,2599.25,2602.75,2597.5,2601.75,839,652,404,435
2/8/18, 23:18:00.0,2601.75,2602.5,2595.75,2596.25,758,532,461,297
2/8/18, 23:21:00.0,2596.25,2599,2592.75,2594.5,1424,1002,730,694
2/8/18, 23:24:00.0,2594.5,2600.25,2594,2597,956,534,322,634
2/8/18, 23:27:00.0,2596.75,2599,2596.5,2598.75,235,198,115,120
2/8/18, 23:30:00.0,2599,2599,2597,2599,250,190,139,111
2/8/18, 23:33:00.0,2599.25,2601.25,2598.75,2599.75,588,427,270,318
2/8/18, 23:36:00.0,2599.5,2599.5,2596.75,2598.75,554,356,375,179
2/8/18, 23:39:00.0,2598.5,2604.5,2597.5,2604.25,1030,576,499,531
2/8/18, 23:42:00.0,2604.25,2606.25,2603.25,2603.5,852,538,425,427
2/8/18, 23:45:00.0,2603.5,2604.5,2602.25,2602.5,378,306,196,182
2/8/18, 23:48:00.0,2602.5,2603.5,2601,2602.25,641,367,235,406
2/8/18, 23:51:00.0,2602,2603,2600.75,2603,326,265,160,166
2/8/18, 23:54:00.0,2602.75,2606,2602,2604.5,667,445,296,371
2/8/18, 23:57:00.0,2604.5,2605.5,2604.25,2605,212,177,126,86
2/9/18, 00:00:00.0,2605,2607.25,2604,2604.5,604,422,236,368
2/9/18, 00:03:00.0,2604.5,2605.5,2603.25,2604.5,439,275,204,235
2/9/18, 00:06:00.0,2604.25,2604.5,2602.75,2604,484,273,131,353
2/9/18, 00:09:00.0,2604,2604.5,2603.25,2604.25,410,198,77,333
2/9/18, 00:12:00.0,2604.25,2604.25,2602.75,2603.75,431,249,141,290
2/9/18, 00:15:00.0,2603.5,2604,2602.5,2603.25,598,280,234,364
2/9/18, 00:18:00.0,2603.25,2603.75,2603.25,2603.5,462,155,200,262
2/9/18, 00:21:00.0,2603.5,2604.5,2603,2603.5,442,167,166,276
2/9/18, 00:24:00.0,2603.75,2603.75,2603,2603,175,97,95,80
2/9/18, 00:27:00.0,2603,2604,2602.25,2602.25,301,186,120,181
2/9/18, 00:30:00.0,2602,2603.25,2602,2603,273,150,85,188
